Category,Thumbnail,Title,Description,Brand,Stars,Reviews,Price,URL
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/815C+WHOQhL._AC_UL600_SR600,400_.jpg",Amazon Essentials Women's Mid-Rise Stretch Pull-On Jegging - Discontinued Colors,"Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of women's apparel includes cashmere sweaters, fleece and down jackets, and more, including plus-size options. Our consistent sizing takes the guesswork out of shopping, an",Amazon Essentials Store,4.2,23387,$13.90,https://www.amazon.com/Amazon-Essentials-Womens-Jegging-Regular/dp/B07RM83VZH/ref=zg_bs_g_7147440011_d_sccl_7/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61MFDm-Gr5L._AC_UL300_SR300,200_.jpg","Ring Sizers for Loose Rings, Eiito Ring Size Adjuster Spacers or Tightener, Invisible Guards, 6 Sizes Fitter, Resizer Fit Alm",Material quality: PU material. The bottom width of the ring: 1.5mm/3mm/4mm/5mm or above. Never have to worry about scratching your ring. The ring guards for women loose rings are too soft to be noticed.,Eiito Store,4.3,21101,$5.95,https://www.amazon.com/Eiito-Ring-Adjusters-Assorted-Polishing/dp/B075DWX8Q4/ref=zg_bs_g_7147440011_d_sccl_30/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61Fej2rPSwL._AC_UL600_SR600,400_.jpg",Lee Women's Ultra Lux Comfort with Flex Motion Bootcut Jean,"Know that uncomfortably tight feeling when the waistband of certain jeans cuts into your waist? Not here. Made with a brilliantly flexible waistband that never pinches or digs into your middle as well as super-stretch denim that gives with every bend, our Flex Motion Regular Fit Bootcut Jean has all",Lee Store,4.4,18960,$23.50,https://www.amazon.com/LEE-Womens-Regular-Bootcut-Renegade/dp/B07B6LZQ8K/ref=zg_bs_g_7147440011_d_sccl_24/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/81k4EuTq2sL._AC_UL600_SR600,400_.jpg",EverFoams Women’s Soft Curly Full Slippers Memory Foam Lightweight House Shoes Cozy Loafer with Polar Fleece Lining,"Customer Reviews, including Product Star Ratings help customers to learn more about the product and decide whether it is the right product for them.",EverFoams Store,4.5,17260,$25.98,https://www.amazon.com/EverFoam-Womens-Slippers-Memory-Lightweight/dp/B09JP2TRK4/ref=zg_bs_g_7147440011_d_sccl_16/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/81Ka+AaluFL._AC_UL300_SR300,200_.jpg",Litfun Women's Fuzzy Memory Foam Slippers Fluffy Winter House Shoes Indoor and Outdoor,"Customer Reviews, including Product Star Ratings help customers to learn more about the product and decide whether it is the right product for them.",Litfun Store,4.4,17241,$13.99,https://www.amazon.com/Litfun-Womens-Memory-Slippers-Outdoor/dp/B09JVQQ99K/ref=zg_bs_g_7147440011_d_sccl_29/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61OOD46UHEL._AC_UL600_SR600,400_.jpg",Women Thigh High Socks Extra Long Cotton Knit Warm Thick Tall Long Boot Stockings Leg Warmers,"This item has been tested to certify it can ship safely in its original box or bag to avoid unnecessary packaging. Since 2015, we have reduced the weight of outbound packaging per shipment by 41% on average, that’s over 2 million tons of packaging material.",Moon Wood Store,4.5,17083,$9.99,https://www.amazon.com/Women-Thigh-Socks-Warmer-Stockings/dp/B074TDRF5B/ref=zg_bs_g_7147440011_d_sccl_6/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/51X5PPehAKL._AC_UL600_SR600,400_.jpg",SINOPHANT High Waisted Leggings for Women - Full Length Capri Buttery Soft Yoga Pants for Workout Athletic,"OEKO-TEX® STANDARD 100 certified products require every component of a textiles production including all thread, buttons, and trims to be tested against a list of more than 1,000 regulated and unregulated chemicals which may be harmful to human health. The assessment process is globally standardised",SINOPHANT Store,4.4,16616,$7.99,https://www.amazon.com/SINOPHANT-High-Waisted-Leggings-Women/dp/B0BVFDH9CP/ref=zg_bs_g_7147440011_d_sccl_8/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/71uGDxhsB0L._AC_UL600_SR600,400_.jpg",CHRLEISURE Women's Fleece Lined Tights - Fake Sheer Warm Pantyhose Thick Winter Leggings,"Customer Reviews, including Product Star Ratings help customers to learn more about the product and decide whether it is the right product for them.",CHRLEISURE Store,4.3,16328,$14.99,https://www.amazon.com/CHRLEISURE-Womens-Winter-Fleece-Leggings/dp/B0C6DM67MZ/ref=zg_bs_g_7147440011_d_sccl_17/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/51Nj2NTfZoL._AC_UL600_SR600,400_.jpg","EVERSWE Women's 80 Den Soft Opaque Tights, Women's Tights","These tights come in a variety of trendy colors; and they are big sellers. These tights can be used in shows or any occasion. Made from 3D spandex (where spandex is knitted in each row, rather than the usual every other row), to give a better fit that will stretch evenly in all directions as you mov",EVERSWE Store,4.5,16253,$7.99,https://www.amazon.com/EVERSWE-Opaque-Tights-Womens-Totally/dp/B07ZTCJRGG/ref=zg_bs_g_7147440011_d_sccl_1/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/517cPCAdH2L._AC_UL600_SR600,400_.jpg",G&Y 3 Pairs Women's Sheer Tights - 20D Control Top Pantyhose with Reinforced Toes,"Customer Reviews, including Product Star Ratings help customers to learn more about the product and decide whether it is the right product for them.",G&Y Store,3.8,15410,$9.98,https://www.amazon.com/Pairs-Womens-Sheer-Tights-Reinforced/dp/B086YMWQPC/ref=zg_bs_g_7147440011_d_sccl_9/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/61dG4+trTJL._AC_UL600_SR600,400_.jpg","CozyWow Women's 80D Soft Opaque Tights, High Waist Solid Color Womens Tights with 30+ Colors","Customer Reviews, including Product Star Ratings help customers to learn more about the product and decide whether it is the right product for them.",CozyWow Store,4.5,14431,$8.99,https://www.amazon.com/CozyWow-Womens-Opaque-Footed-Pantyhose/dp/B01LXJZAOR/ref=zg_bs_g_7147440011_d_sccl_15/142-4859137-9579169?psc=1
Women Fashion,"https://images-na.ssl-images-amazon.com/images/I/711MgPoMoUS._AC_UL600_SR600,400_.jpg","Hanes Ultimate womens Ankle Socks, Comfort Toe Seamed, White & Black Available, 6-pack","Hanes Ultimate Women's Soft and Cushioned X-Temp Socks are the ultimate in comfort! With plush loops of cushioning along the foot bottom, these socks provide comfort in every step. Wicking fabric is combined with our X-Temp technology to help keep feet cool, dry, and comfortable.",Hanes Store,4.7,14095,$8.45,https://www.amazon.com/Hanes-Ultimate-Womens-6-Pack-Ankle/dp/B014D3KZIQ/ref=zg_bs_g_7147440011_d_sccl_15/142-4859137-9579169?psc=1
